title,year
Bad Company,1972
Baggage Claim,
"Bright Lights, Big City",
Bad Taste,
Beautiful,2000
The Best Man,1964
Blonde,1950
Bopha!,
Beyond Good and Evil,
The Black Cannon Incident,
Blackbird,2007
Beau Geste,1926
Bill Cosby: Himself,
Brothers at War,
Beautiful,2011
Babar: The Movie,
Bless the Beasts and Children,
The Blind Side,
Bad Moms,
Behind Enemy Lines,2001
Black Roses,1988
The Buccaneers,
But Always,
Biohazard 4D-Executer,
Bachelor Flat,
BloodRayne: The Third Reich,
Business as Usual,
Born to Fight,1984
The Boomerang,1919
Backdraft,
Billy Elliot,
Brideshead Revisited,
Bird People,
Beaches,1988
Bewitched,1945
Birdemic: Shock and Terror,
Black Jack,1927
Blind Date,2015
Black Lightning,2009
Black Tuesday,
Bachelor Father,
Bed and Board,1970
Baby Brother,
Bangarada Kalasha,
The Battling Orioles,
Biwi-O-Biwi,
Batman Beyond: Return of the Joker,
The Black Pierrot,
Ben 10,
Blackmailed,1951
Babu,1971
Babar Naam Gandhiji,
Born Free,
The Beguiled,1971
A Boy Called Christmas,
Big Eden,
Burnt Offerings,
Behind the Mask,1946
The Book of Gabrielle,
Barefooted Youth,
Barefoot Savage,
Baby It's You,
Boogeyman II,
Babyteeth,
Bullet Ballet,
The Ballad of Gregorio Cortez,
Black Sunday,1977
Baghaawat – Ek Jung,
Support us by donating to the Wikimedia Foundation,
Breathe,2017
Barefoot to Herat,
Belle de Jour,
Beer League,
Baghini,1968
Baanaadi,
Baba Luba,
The Brink,2019
The Boy Who Cried Werewolf,1973
Burning Paradise,
Boys' Night Out,
Bébé et fillettes,
Big Bad Wolves,
Brewster's Millions,1921
Baby Done,
Bedardi,
2036: Nexus Dawn,
Baristas,
Beta,
Blue Jasmine,
Body and Soul,1925
The Bridge of San Luis Rey,1929
The Bad Seed,1985
Broken Trail,
Brian's Song,
Baby Boy,
Babylon 5: Thirdspace,
BlacKkKlansman,
Baby and I,
Ben X,
Billy's Dad Is a Fudge-Packer,
Beautiful,2009
Bad Company,1995
Black Narcissus,
Belzebuth,
La ragazza di Bube,
Bulldog Drummond,1929
Behind Enemy Lines: Colombia,
Black Fox: The Rise and Fall of Adolf Hitler,
Becoming Jane,
Behind the Lines,1916
Barbarian,2022
The Beverly Hillbillies,
Border Radio,
Barbie in A Mermaid Tale 2,
Barbie: Star Light Adventure,
Bazaar Rowdy,
Bittersweet Love,
The Beast and the Magic Sword,
The Blood of Fu Manchu,
Beautiful Boy,2010
Bring On the Night,
Bewitching Attraction,
Bratz: The Movie,
Bangaru Kanuka,
The Brothers Lionheart,
The Baron of Arizona,
The Barber of Seville,1947
The Bait,1995
Banana,
Barbados Quest,
Blow,
Blue in the Face,
Beatrice Cenci,1926
Baava,
Baby Snakes,
Bar Boys,
The Biscuit Eater,1940
List of films: T,
BoOzy' OS and the Cristal Gem,
Before We Go,
Baseball Girl,
Big Top Bunny,
Baseball Bugs,
Boxer,1984
Bhagta Bhoot,
Bo Burnham: Inside,
Bambi,
Bangkok Dangerous,2008
The Batman,
Batman: Bad Blood,
Before Flying Back to Earth,
Bathtime in Clerkenwell,
Between Two Ferns: The Movie,
Battle Royale,
The Black Corsair,1937
Bonnie and Clyde,
Birdman,
The Brink's Job,
Bangara s/o Bangarada Manushya,
Barbara Frietchie,1915
Back in the USSR,
Bikini Beach,
Blackmail,2005
Bedlam,2019
Past revisions of this page [h],
Bitter Apples,
Baby Sister,
Bad Company,1999
Baraka,
Bhadrachalam,
Beyond the Forest,
Ball of Fire,
The Bitter Tea of General Yen,
The Big House,1930
Bhagyawan,
The Broken Cross,1916
Bullitt,
Bubble,2005
Brothers,2007
Baarish,
Be Natural: The Untold Story of Alice Guy-Blaché,
List of documentary films,
Brewster's Millions,1935
Bahut Hua Samman,
Bring It On: All or Nothing,
The Battle Royal,
Barely Lethal,
Battle of the Sexes,1926
Blood Shack,
Blood: The Last Vampire,2009
Black Beauty,2020
Babes in Toyland,1934
Baaje Ghungroo,
Butterfly Kiss,
Burn Out,
Bergman Island,
A Better Tomorrow II,
The Browning Version,1951
Beethoven Lives Upstairs,
Bituing Walang Ningning,
Blue Ice,
Bhagya Rekha,
Bachelor's Baby,
Barefoot in the Park,
Bowery Blitzkrieg,
Barking Water,
Bad Samaritan,
Brothers,2017
Budbringeren,
The Big Brawl,
Battered,
The Banker,2015
Bad Girl,1963
The Bigamist,1953
Black Book,
The Bachelor and the Bobby-Soxer,
Bachelor Party,1984
The Ballad of Jack and Rose,
The Brave Little Toaster Goes to Mars,
Buck Privates Come Home,
Buffalo Dreams,
A list of recent changes to Wikipedia [r],
Blitz,2011
Burial Ground,
Brass Knuckles,
Black Cat Mansion,
Bhoot,
Branded to Kill,
Baap Re Baap,2019
Burroughs,
Bellflower,
Banarasi Babu,1973
Bachelor Daddy,
Baby Brokers,
Bonzo Goes to College,
Black Roses,1932
Bare Behind Bars,
Bullets or Ballots,
The Box,2003
Battle of the Sexes,1920
Add images or other media for use on Wikipedia,
Because You're Mine,
The Bodyguard,2004
Baat Ek Raat Ki,
The Blue Lagoon,1980
The Boogeyman,2023
Boo! A Madea Halloween,
Bachelor's Paradise,1939
Babloo Happy Hai,
Bandhan,1991
The Best Man,1999
Bandhukkal Sathrukkal,
Baxter,
Bent,1997
Boomerang,1976
Boat,2009
Bruce and Pepper Wayne Gacy's Home Movies,
Between Love and Hate,2006
Buried,
Banzai,1997
Barbarians of the Bay,
Balahibong Pusa,
Breakin' 2: Electric Boogaloo,
Biwi No.1,
Beastly,
Bury My Heart at Wounded Knee,
Brother,1997
The Bad Man,1923
Befaam,
Template:List of films by letter,
Bandhan,2004
Beauty and the Beast,1934
Baby Blood,
Bordertown,1935
The Barretts of Wimpole Street,1957
Bartleby,1970
Behind Enemy Lines II: Axis of Evil,
The Bad Man,1930
Edit section: Bab,
Bangarda Kural,
The Big Shot,1942
The Battle of El Alamein,
Buchanan's Wife,
Beyond the Lights,
The Babysitter,2017
The Birthday Party,1968
Babruvahana,1964
Baawri,
Bittersweet Symphony,
Boys Don't Cry,1999
Batman v Superman: Dawn of Justice,
Bachpan,
Bayside Shakedown,
Butch Cassidy and the Sundance Kid,
Bathory,
A Boy Named Charlie Brown,
Blade,2025
Beanpole,
Beau Travail,
Beat Girl,
Barbara,1997
Battle of the Bulge,1965
Bhagwaan Dada,
The Boundary,2014
Band of Thieves,1962
The Big Sky,
Bad Hair Day,2015
Back to the Future Part III,
Border River,
Balyasakhi,
"Baxter, Vera Baxter",
Black Belly of the Tarantula,
Before Him All Rome Trembled,
Book of Shadows: Blair Witch 2,
Baanam,
Body Heat,
Band of the Hand,
Borderline,1950
Beau Brummell,1954
The Book of Love,
Bataille de boules de neige,
Beauty and the Beast,1983
The Bloodhound,2020
Barbary Sheep,
The Birth of a Nation,2016
Becky,2020
Beauty and the Beast: Belle's Magical World,
Blade,1998
Bohemian Rhapsody,
Banarsi Thug,
Bran Nue Dae,
The Brute,1927
Basement,2014
Beverly Hills Vamp,
Beregis Avtomobilya,
Black & White Episode I: The Dawn of Assault,
The Beales of Grey Gardens,
Baby God,
Bottom of the 9th,
Brainstorm,1983
Bhaaryayum Kaamukiyum,
The Buffalo Boy,
Baltic Storm,
Beverly Hills Cop,
Brothers,2009
Bad Guy,1937
Blue Beard,1901
The Boogie Man Will Get You,
The Black Pirate,
The Body Snatcher,1945
Battalion,2015
Badger's Green,1934
The Black Corsair,1976
Boogie,2021
Articles related to current events,
Blood,2004
Blume in Love,
Buddymoon,
Bloody Spear at Mount Fuji,
Biggles: Adventures in Time,
Before the Rain,2010
Bon Voyage,2003
Brice de Nice,
Baghban,2003
Before Night Falls,
Bo,
Babysitter Massacre,
A Bridge Too Far,
Beep: A Documentary History of Game Sound,
Baghdad or Bust,
A Better Life,
Brotherhood of Blood,
Blue Money,1985
Baksho Rahashya,
Back Street,1961
Bathing Buddies,
The Boys,1962
The Battle of Gettysburg,1913
By the Grace of God,
The Ball Game,
Bangaram,
Bad Lieutenant: Port of Call New Orleans,
Black Dawn,2005
Boomerang,1947
Bless the Child,
The Bad and the Beautiful,
Barbara,2012
Babloo Bachelor,
Batman: Under the Red Hood,
The Brute,1961
Broken English,1981
Basanta Bilap,
The Band Plays On,
The Batman vs. Dracula,
Billy Bathgate,
Baba Ramdev,
Beginning of the End,
Bread and Roses,2000
Bad Sister,2014
Balto,
Bad Company,1946
Be Big!,
List of films: U–W,
Bach's Fight for Freedom,
Bad Tales,
Back Street Girls: Gokudols,
Batman: Hush,
Brainwashed,
The Big Bad Wolf,2013
Baby Bumps,
Bitter Seeds,
Black Rain,
Be a Wicked Woman,
Barbie Mariposa,
Bigfoot,2012
Butter on the Latch,
Being Mortal,
Blind Spot,1947
Bait,1950
Battle: Los Angeles,
Bliss,2007
Brothers,2015
Baharen Phir Bhi Aayengi,
The Big Empty,2003
Behind the Screen,
Edit section: Bin-Biz,
Beef,
Beauty Shop,
Beckett,
Better Living Through Chemistry,
Babs,2017
Bobby Jones: Stroke of Genius,
Borderline,1930
The Butterfly Tattoo,
Blood of the Vampire,
Bandhu Balaga,
The Big Risk,
BoBoiBoy: The Movie,
Beware of Children,
The Boys in the Band,2020
Blind,2016
Bernie,1996
The Breed,2001
Bite Me!,
Bucking Broadway,
Bauern erfüllen den Plan,
Back from Hell,
Ben 10: Alien Swarm,
Bashing,
Baadshah,1999
Bal Tabarin,
Burnt by the Sun,
Baby the Rain Must Fall,
The Beast,2023
Beneath the Valley of the Ultra-Vixens,
List of films: L,
Blown Away,1994
The Born Losers,
Boy Meets Dog,
Bellyful,
Breakdown,2016
The Babysitter,1980
Bed for Two; Rendezvous with Luck,
Back Then,
Banna Bannada Loka,
Babes in Toyland,1986
Ballet Mécanique,
"Be Silent, My Sorrow, Be Silent",
Beasts of the Southern Wild,
Blind Ambition,2021
Bar Hopping,
The Book of Masters,
Behind the Mask,2006
Between Two Women,1986
Bandhanaya,
Black House,
Besieged,
The Best Plan Is No Plan,
Bollywood/Hollywood,
Black Beauty,1978
The Bible: In The Beginning,
Before Midnight,1925
"Bravo, My Life",
Bacurau,
Bhagyamudra,
The Bohemian Girl,1936
Beyond the Clouds,2017
Broadway Melody of 1940,
Blood Sucking Freaks,
Brubaker,
Bashful Buccaneer,
Brilliantovaya ruka,
The Big Shot,1922
Bambi Meets Godzilla,
Baby Blues,2012
The Bandit Buster,
Beyond the Hills,
Bitter Honey,2014
The Boys from Fengkuei,
Bridge,1988
Bauerntanz zweier Kinder,
The Book of Revelation,
The Brood,
Baseball Punx,
The Big Parade,1986
The Bounty Hunter,2010
Black Sunday,1960
Boeing Boeing,1965
Barista,
Blues Brothers 2000,
Barnyard,
Born to Sing,2013
Bridesmaids,1989
Bright Lights: Starring Carrie Fisher and Debbie Reynolds,
Bala Nagamma,1942
Wikipedia:WikiProject Lists,
Bandhu Mohanty,
Boy,2010
Blind Spot,2012
Banat,
Baby,2015
Best Friends,1975
Blue Monkey,
The Bastard,1954
Bill Nye: Science Guy,
Best in Show,
Bitch Slap,
The Battle of Bademunde,
Bar 20,
Battal Gazi Destanı,
The Bermuda Depths,
Blades of Glory,
The Boy Who Talked to Badgers,
Beethoven,
By Candlelight,
Babatu,
A Boy Called Po,
Barbara,1961
Black Coffee,2021
Blood Alley,
Benji's Very Own Christmas Story,
But I'm a Cheerleader,
Barke,
Bad Santa 2,
Beneath the 12-Mile Reef,
Bob Roberts,
Beyond the Last Mountain,
Bending the Rules,
Baahubali 2: The Conclusion,
The Big Kahuna,
The Black Cat,1981
The Bad Education Movie,
Blind Date,1987
Barbed Wire,1952
Batch '81,
Baat Ban Jaye,
Baharo Phool Barsao,
The Battle of Shaker Heights,
Bed & Breakfast,1992
Based on the Novel,
Before I Hang,
Ben-Hur: A Tale of the Christ,1925
Bad Santa,
Battleground,
Billionaire Ransom,
Be Water,
The Big White,
Basanti Tangewali,
Barnacle Bill,1941
Battalion 609,
Blowing Wild,
The Big Splash,
The Big Chill,
Bis,
Born to Kill,1974
Batman Unlimited: Mechs vs. Mutants,
Big City Blues,1932
The Big Sleep,1946
"Butcher, Baker, Nightmare Maker",
Blood Feast,
Breaking and Entering,
Brothers,
Baby,1915
Bandidos,
Beverly Hills Cop,
Blue Jay,
Blackbirds,1915
Barkhaa,
Blood Brothers,2007
Born of Hope,
Blackbirds,1920
Batman Ninja,
The Big Swindle,
Bol,
The Brides of Dracula,
The Blue Max,
The Burning Season,1994
Blue Mountain State: The Rise of Thadland,
The Blood Beast Terror,
A Bullet for Joey,
Black Coffee,1931
Big Bad Mama,
The Big Empty,2005
Born to Fight,2004
Babes a GoGo,
The Barkleys of Broadway,
Big Jake,
Barbershop,
Billion Dollar Brain,
Borg vs McEnroe,
Brian and Charles,
Beware of a Holy Whore,
BoBoiBoy Movie 2,
The Bad Guys: Reign of Chaos,
Beedala Patlu,
Brotherhood of the Wolf,
Black Snake Moan,
Bill: On His Own,
Boy Called Twist,
Back in Time,2015
Blacula,
Boogeyman 2,
Buriki no kunsho,
Baat Bann Gayi,
Barefoot Boy,
Beethoven's 3rd,
The Brothers,1973
The Betrayed,2008
Black '47,
Black Dalia,
Back Roads,1981
Barbie,
Baaghi,1990
Bad Kids Go to Hell,
Booty Call,
The Boxtrolls,
Be Dear to Me,
Bare på jobb,
Be Somebody,2016
Bitter Love,
Boonie Bears: Mystical Winter,
Bandhana,
Be Here to Love Me,
Barbie: Princess Charm School,
Bajrangi Bhaijaan,
Bolshevism on Trial,
Boiling Point,1990
The Blue Umbrella,2005
Banana da Terra,
Body God,
Baankey Ki Crazy Baraat,
The Ballad of Narayama,1958
Bill & Ted,
Beverly Hills Chihuahua,
Breakdown,1952
Beach House,
Brain on Fire,
Bluebeard,2009
The Butler,
Brooklyn,
Bhagya Jyothi,
The Black Box,
Big Trouble,2002
Birth,2004
2048: Nowhere to Run,
Bullets of Justice,
Barnen från Frostmofjället,
Boonie Bears: To the Rescue,
List of films: D,
Baga Beach,
Bad Education,2004
Bandish,1980
Belladonna of Sadness,
Baba Yaga is against!,
Bear Witness,
Best Laid Plans,1999
"Baree, Son of Kazan",1925
Baghavat,
Bitter Flowers,2017
Basement,2010
Back Stage,1917
Black Widow,2007
Blue Movie,1971
The Ballad of Cable Hogue,
Black Friday,2021
Blackmail,1929
The Best Intentions,
Bloodlust!,
Brother Bear 2,
The Black Forest Girl,1933
The Bachelor,1955
Edit section: Bl–Bm,
"Barata Ribeiro, 716",
Botched,
Bala Bala Sese,
"Batman: The Long Halloween, Part Two",
The Ballroom of Romance,
The Big Broadcast,
Blind Spot,2015
Bangkok Traffic (Love) Story,
Barry,2016
The Battle of Trafalgar,1911
The Bride with White Hair,
The Bullet Vanishes,
Blind,2023
Be-Reham,
Bag Boy Lover Boy,
Baptists at Our Barbecue,
The Broken Cross,1911
Back to 1942,
Big City Blues,1997
Bath Salt Zombies,
Bite the Bullet,
Black Widow,2005
Bolivia,
Be Forever Yamato,
Bugs,2014
Burlesque,2010
Bang Gang,
Borderland,1937
Babies,
Bamako,
Blind Date,1984
The Boxer,1997
Barbarian Queen,
Beautiful but Dangerous,
BABO,
Baalu Jenu,
The Beast Must Die,1952
The Blue Bird,1918
The Battle of Frenchman's Run,
Bichunmoo,
Beethoven's Big Break,
Black Jack,1950
Bananaz,
Baandhon,
Barabbas,1953
